iter	Passed	Remaining
400	23081	34477
401	23135	34415
402	23195	34362
403	23246	34294
404	23305	34239
405	23364	34183
406	23421	34124
407	23474	34060
408	23526	33995
409	23586	33942
410	23640	33878
411	23703	33828
412	23769	33783
413	23832	33733
414	23890	33676
415	23946	33616
416	24000	33555
417	24051	33488
418	24110	33432
419	24162	33367
420	24212	33299
421	24269	33241
422	24320	33175
423	24371	33107
424	24425	33046
425	24486	32993
426	24536	32926
427	24590	32863
428	24647	32806
429	24703	32746
430	24755	32681
431	24816	32629
432	24870	32566
433	24931	32514
434	24989	32457
435	25052	32407
436	25103	32341
437	25164	32288
438	25222	32231
439	25273	32166
440	25329	32107
441	25389	32052
442	25449	31998
443	25502	31935
444	25561	31879
445	25613	31815
446	25671	31759
447	25728	31701
448	25783	31641
449	25846	31590
450	25904	31533
451	25962	31476
452	26015	31413
453	26068	31351
454	26122	31289
455	26188	31242
456	26250	31190
457	26310	31136
458	26370	31081
459	26432	31029
460	26488	30969
461	26539	30905
462	26598	30850
463	26652	30788
464	26711	30732
465	26759	30664
466	26826	30617
467	26878	30553
468	26940	30501
469	26996	30443
470	27050	30381
471	27104	30320
472	27158	30258
473	27213	30198
474	27264	30134
475	27319	30073
476	27377	30017
477	27437	29962
478	27492	29902
479	27540	29835
480	27603	29784
481	27662	29728
482	27722	29673
483	27784	29621
484	27836	29558
485	27887	29494
486	27944	29436
487	28000	29377
488	28067	29330
489	28130	29278
490	28184	29217
491	28241	29159
492	28291	29095
493	28340	29029
494	28391	28965
495	28443	28902
496	28497	28841
497	28561	28790
498	28617	28731
499	28667	28667
500	28721	28606
501	28771	28542
502	28833	28489
503	28892	28434
504	28951	28378
505	29008	28320
506	29061	28259
507	29115	28198
508	29167	28135
509	29220	28074
510	29276	28015
511	29338	27963
512	29398	27908
513	29451	27846
514	29507	27788
515	29565	27732
516	29626	27678
517	29689	27626
518	29752	27574
519	29814	27520
520	29874	27465
521	29930	27407
522	29984	27347
523	30051	27299
524	30102	27235
525	30160	27178
526	30212	27116
527	30271	27060
528	30321	26996
529	30382	26943
530	30438	26884
531	30509	26839
532	30561	26777
533	30618	26719
534	30673	26660
535	30734	26605
536	30788	26545
537	30844	26486
538	30895	26424
539	30952	26367
540	31005	26305
541	31053	26240
542	31102	26176
543	31167	26125
544	31218	26063
545	31269	26001
546	31328	25944
547	31383	25885
548	31439	25827
549	31494	25768
550	31548	25708
551	31609	25653
552	31662	25593
553	31721	25537
554	31782	25483
555	31835	25422
556	31906	25376
557	31956	25313
558	32013	25255
559	32073	25200
560	32141	25151
561	32201	25096
562	32259	25040
563	32317	24982
564	32365	24918
565	32425	24863
566	32485	24807
567	32544	24752
568	32599	24693
569	32659	24637
570	32717	24581
571	32768	24519
572	32828	24464
573	32907	24422
574	32968	24368
575	33026	24311
576	33083	24253
577	33132	24190
578	33199	24139
579	33254	24080
580	33308	24021
581	33363	23962
582	33420	23904
583	33486	23853
584	33541	23794
585	33598	23736
586	33670	23690
587	33729	23633
588	33785	23575
589	33838	23514
590	33892	23454
591	33950	23398
592	34002	23337
593	34067	23285
594	34124	23227
595	34181	23169
596	34236	23110
597	34287	23049
598	34339	22988
599	34392	22928
600	34447	22869
601	34508	22814
602	34566	22757
603	34623	22699
604	34684	22645
605	34750	22593
606	34816	22541
607	34877	22486
608	34929	22425
609	34988	22370
610	35045	22312
611	35106	22257
612	35154	22193
613	35220	22141
614	35286	22089
615	35347	22034
616	35404	21977
617	35464	21921
618	35521	21863
619	35585	21810
620	35640	21751
621	35695	21692
622	35754	21636
623	35805	21575
624	35860	21516
625	35920	21460
626	35983	21406
627	36038	21347
628	36088	21285
629	36143	21227
630	36213	21177
631	36264	21115
632	36325	21060
633	36392	21008
634	36451	20952
635	36506	20893
636	36558	20833
637	36614	20774
638	36670	20716
639	36731	20661
640	36790	20605
641	36859	20553
642	36917	20496
643	36982	20443
644	37038	20385
645	37103	20332
646	37177	20283
647	37243	20230
648	37298	20172
649	37354	20113
650	37403	20051
651	37462	19995
652	37522	19939
653	37578	19881
654	37641	19826
655	37693	19765
656	37746	19706
657	37802	19648
658	37859	19590
659	37918	19533
660	37981	19479
661	38033	19418
662	38086	19359
663	38145	19302
664	38198	19242
665	38252	19183
666	38313	19128
667	38371	19070
668	38426	19012
669	38486	18956
670	38543	18898
671	38601	18841
672	38672	18790
673	38728	18732
674	38788	18676
675	38843	18617
676	38899	18558
677	38957	18501
678	39025	18449
679	39076	18388
680	39132	18330
681	39187	18271
682	39240	18212
683	39293	18153
684	39346	18093
685	39402	18035
686	39459	17977
687	39509	17916
688	39561	17857
689	39623	17801
690	39687	17747
691	39736	17685
692	39791	17627
693	39850	17570
694	39904	17512
695	39983	17463
696	40046	17408
697	40100	17349
698	40149	17289
699	40206	17231
700	40261	17172
701	40326	17118
702	40382	17060
703	40437	17001
704	40494	16944
705	40546	16884
706	40594	16823
707	40646	16763
708	40704	16706
709	40756	16647
710	40817	16591
711	40875	16533
712	40931	16475
713	40987	16417
714	41029	16354
715	41091	16298
716	41142	16238
717	41201	16182
718	41258	16124
719	41323	16070
720	41381	16013
721	41444	15958
722	41504	15901
723	41556	15841
724	41611	15783
725	41667	15725
726	41725	15668
727	41786	15612
728	41837	15552
729	41890	15493
730	41941	15433
731	41996	15375
732	42051	15317
733	42105	15258
734	42163	15201
735	42218	15143
736	42280	15087
737	42339	15031
738	42395	14973
739	42444	14912
740	42503	14856
741	42560	14798
742	42613	14739
743	42669	14682
744	42721	14622
745	42773	14563
746	42827	14505
747	42884	14447
748	42938	14389
749	42988	14329
750	43043	14271
751	43113	14218
752	43165	14159
753	43223	14102
754	43282	14045
755	43339	13987
756	43394	13929
757	43446	13870
758	43502	13813
759	43559	13755
760	43615	13697
761	43672	13640
762	43737	13585
763	43800	13529
764	43849	13470
765	43906	13412
766	43960	13354
767	44022	13298
768	44091	13244
769	44155	13189
770	44205	13129
771	44266	13073
772	44331	13018
773	44393	12962
774	44449	12904
775	44506	12847
776	44562	12789
777	44612	12729
778	44675	12674
779	44740	12619
780	44788	12559
781	44840	12500
782	44905	12445
783	44972	12390
784	45033	12333
785	45087	12275
786	45136	12216
787	45188	12157
788	45236	12097
789	45285	12037
790	45342	11980
791	45406	11925
792	45459	11866
793	45515	11808
794	45578	11752
795	45632	11694
796	45689	11637
797	45751	11581
798	45810	11524
799	45870	11467
800	45937	11412
801	46009	11358
802	46069	11302
803	46134	11246
804	46195	11190
805	46260	11134
806	46319	11077
807	46377	11020
808	46427	10961
809	46488	10904
810	46550	10848
811	46608	10791
812	46673	10735
813	46731	10678
814	46790	10621
815	46858	10566
816	46918	10509
817	46982	10453
818	47079	10404
819	47135	10346
820	47197	10290
821	47254	10232
822	47313	10175
823	47371	10118
824	47422	10059
825	47481	10002
826	47569	9951
827	47685	9905
828	47741	9847
829	47807	9791
830	47870	9735
831	47919	9676
832	47974	9617
833	48036	9561
834	48096	9504
835	48157	9447
836	48224	9391
837	48288	9334
838	48345	9277
839	48399	9218
840	48454	9160
841	48518	9104
842	48569	9045
843	48620	8986
844	48681	8929
845	48744	8873
846	48799	8815
847	48851	8756
848	48908	8698
849	48973	8642
850	49029	8584
851	49080	8525
852	49145	8469
853	49207	8412
854	49263	8354
855	49326	8297
856	49392	8241
857	49459	8185
858	49516	8127
859	49582	8071
860	49639	8013
861	49707	7957
862	49774	7901
863	49832	7844
864	49894	7786
865	49952	7729
866	50016	7672
867	50072	7614
868	50128	7556
869	50189	7499
870	50252	7442
871	50308	7384
872	50388	7330
873	50443	7272
874	50509	7215
875	50560	7156
876	50616	7098
877	50674	7041
878	50736	6984
879	50795	6926
880	50865	6870
881	50915	6811
882	50971	6753
883	51021	6695
884	51077	6637
885	51135	6579
886	51199	6522
887	51253	6464
888	51305	6405
889	51370	6349
890	51430	6291
891	51495	6234
892	51563	6178
893	51622	6120
894	51680	6063
895	51736	6005
896	51791	5947
897	51844	5888
898	51911	5832
899	51973	5774
900	52034	5717
901	52090	5659
902	52148	5601
903	52211	5544
904	52275	5487
905	52336	5430
906	52400	5372
907	52457	5315
908	52508	5256
909	52581	5200
910	52643	5143
911	52698	5084
912	52754	5027
913	52811	4969
914	52873	4911
915	52929	4853
916	52998	4797
917	53056	4739
918	53110	4681
919	53162	4622
920	53216	4564
921	53275	4507
922	53332	4449
923	53398	4392
924	53452	4333
925	53511	4276
926	53577	4219
927	53632	4161
928	53702	4104
929	53755	4046
930	53810	3988
931	53868	3930
932	53924	3872
933	53997	3815
934	54067	3758
935	54128	3701
936	54185	3643
937	54239	3585
938	54300	3527
939	54357	3469
940	54411	3411
941	54468	3353
942	54524	3295
943	54588	3238
944	54652	3180
945	54716	3123
946	54783	3066
947	54843	3008
948	54901	2950
949	54968	2893
950	55022	2835
951	55077	2776
952	55129	2718
953	55189	2661
954	55248	2603
955	55306	2545
956	55366	2487
